Country,Year,Type 1,Generated TWH,Type 2,Generated TWH
Costa Rica,2000,Fossil,0.04,Clean,6.8
Costa Rica,2001,Fossil,0.07,Clean,6.8
Costa Rica,2002,Fossil,0.08,Clean,7.3
Costa Rica,2003,Fossil,0.11,Clean,7.14
Costa Rica,2004,Fossil,0.05,Clean,7.91
Costa Rica,2005,Fossil,0.18,Clean,7.92
Costa Rica,2006,Fossil,0.35,Clean,8.09
Costa Rica,2007,Fossil,0.47,Clean,8.26
Costa Rica,2008,Fossil,0.45,Clean,8.72
Costa Rica,2009,Fossil,0.3,Clean,8.79
Costa Rica,2010,Fossil,0.42,Clean,8.87
Costa Rica,2011,Fossil,0.57,Clean,8.89
Costa Rica,2012,Fossil,0.55,Clean,9.28
Costa Rica,2013,Fossil,0.79,Clean,8.99
Costa Rica,2014,Fossil,0.68,Clean,9.13
Costa Rica,2015,Fossil,0.07,Clean,10.66
Costa Rica,2016,Fossil,0.13,Clean,10.67
Costa Rica,2017,Fossil,0.03,Clean,11.24
Costa Rica,2018,Fossil,0.11,Clean,11.28
Costa Rica,2019,Fossil,0.07,Clean,11.33
Costa Rica,2020,Fossil,0.01,Clean,11.71
Costa Rica,2021,Fossil,0,Clean,12.63
Costa Rica,2022,Fossil,0,Clean,12.47
